seq,actor,ani,no,file,x,y,w,h
1,1,1,0,lina_kick1_00.png,0.460525095,0,76,166
2,1,1,1,lina_kick1_01.png,0.178080902,-0.006024096,73,166
3,1,1,2,lina_kick1_02.png,-0.164384797,0,73,158
4,1,1,3,lina_kick1_03.png,-0.272728294,0,88,156
5,1,1,4,lina_kick1_04.png,-0.808220387,-0.059171598,73,169
6,1,1,5,lina_kick1_05.png,-0.523077607,-0.089285716,130,168
7,1,1,6,lina_kick1_06.png,-0.808989823,-0.063694268,89,157
8,1,1,7,lina_kick1_07.png,-1.043478966,-0.006289308,92,159
9,1,1,8,lina_kick1_08.png,-1.290699005,0,86,159
10,1,1,9,lina_kick1_09.png,-1.365854979,0,82,161
11,1,1,10,lina_kick1_10.png,-1.447370052,0,76,162
12,1,1,11,lina_kick1_11.png,-1.41892004,0,74,160
13,1,1,12,lina_kick1_12.png,-1.259740949,-0.006329114,77,158
14,1,1,13,lina_kick1_13.png,-1.192309022,0,78,164
15,1,1,14,lina_kick1_14.png,-1.276317,0,76,167
16,1,1,15,lina_kick1_15.png,-1.285714984,0.005952381,77,168
17,1,1,16,lina_kick1_16.png,-1.360000968,0.005952381,75,168
18,1,1,17,lina_kick1_17.png,-1.373335004,0,75,166
19,1,2,0,lina_kick2_00.png,0.479998797,0,75,165
20,1,2,1,lina_kick2_01.png,0.216215,-0.006802721,74,147
21,1,2,2,lina_kick2_02.png,-0.092106469,0,76,166
22,1,2,3,lina_kick2_03.png,-0.318182886,-0.115853697,88,164
23,1,2,4,lina_kick2_04.png,-0.283582807,-0.094936714,134,158
24,1,2,5,lina_kick2_05.png,-0.494950414,0.006410256,99,156
25,1,2,6,lina_kick2_06.png,-0.65217489,0,92,160
26,1,2,7,lina_kick2_07.png,-0.65217489,0,92,167
27,1,2,8,lina_kick2_08.png,-0.804879189,0,82,171
28,1,2,9,lina_kick2_09.png,-0.947369576,0,76,166
29,1,2,10,lina_kick2_10.png,-0.96104008,0.006097561,77,164
30,1,2,11,lina_kick2_11.png,-0.960001171,0,75,165
31,1,2,12,lina_kick2_12.png,-0.933334529,0,75,167
32,1,2,13,lina_kick2_13.png,-0.933334529,0,75,167
33,1,2,14,lina_kick2_14.png,-0.907895923,0,76,166
34,1,3,0,lina_kick3_00.png,0.472971708,0,74,166
35,1,3,1,lina_kick3_01.png,0.415583193,0,77,151
36,1,3,2,lina_kick3_02.png,0.129868895,-0.100000001,77,170
37,1,3,3,lina_kick3_03.png,-0.484376401,-0.208589002,64,163
38,1,3,4,lina_kick3_04.png,-0.2480627,-0.089285716,129,168
39,1,3,5,lina_kick3_05.png,-0.784811318,-0.05952381,79,168
40,1,3,6,lina_kick3_06.png,-0.718751013,-0.01204819,96,166
41,1,3,7,lina_kick3_07.png,-0.89899081,0.006410256,99,156
42,1,3,8,lina_kick3_08.png,-1.139242053,0.006849315,79,146
43,1,3,9,lina_kick3_09.png,-1.12658298,0.006849315,79,146
44,1,3,10,lina_kick3_10.png,-1.141026974,0.006896552,78,145
45,1,3,11,lina_kick3_11.png,-1.153846979,0.006802721,78,147
46,1,3,12,lina_kick3_12.png,-1.155845046,0.006493506,77,154
47,1,3,13,lina_kick3_13.png,-1.112501025,0.00621118,80,161
48,1,3,14,lina_kick3_14.png,-1.250000954,0,76,164
49,1,3,15,lina_kick3_15.png,-1.23684299,0,76,165
50,1,3,16,lina_kick3_16.png,-1.207792997,0,77,165
51,1,3,17,lina_kick3_17.png,-1.23684299,0,76,166
52,1,4,0,lina_walk_00.png,0.426665515,0.006024096,75,166
53,1,4,1,lina_walk_01.png,0.426665515,0.006024096,75,166
54,1,4,2,lina_walk_02.png,0.439998806,-0.006134969,75,163
55,1,4,3,lina_walk_03.png,0.466665387,0.006097561,75,164
56,1,4,4,lina_walk_04.png,0.486485213,0.01219512,74,164
57,1,4,5,lina_walk_05.png,0.493332088,0.01212121,75,165
58,1,4,6,lina_walk_06.png,0.473683,0.01204819,76,166
59,1,4,7,lina_walk_07.png,0.441557288,0,77,165
60,1,4,8,lina_walk_08.png,0.42499879,-0.006097561,80,164
61,1,4,9,lina_walk_09.png,0.471263289,0,87,164
62,1,4,10,lina_walk_10.png,0.46511519,0.006097561,86,164
63,1,4,11,lina_walk_11.png,0.413332105,0.006060606,75,165
64,1,4,12,lina_walk_12.png,0.426665515,0.006024096,75,166
65,1,5,0,lina_run_00.png,0.486485213,0.005952381,74,168
66,1,5,1,lina_run_01.png,0.479998797,0,75,166
67,1,5,2,lina_run_02.png,0.373332113,-0.01807229,75,166
68,1,5,3,lina_run_03.png,0.259739101,-0.00591716,77,169
69,1,5,4,lina_run_04.png,0.136985004,0.01190476,73,168
70,1,5,5,lina_run_05.png,0.121620402,0.01807229,74,166
71,1,5,6,lina_run_06.png,0.311687112,0,77,164
72,1,5,7,lina_run_07.png,0.463413507,-0.005882353,82,170
73,1,5,8,lina_run_08.png,0.486485213,0.005952381,74,168
74,2,6,0,knight_walk_00.png,0.280700088,-0.006535948,57,153
75,2,6,1,knight_walk_01.png,0.349204898,-0.006535948,63,153
76,2,6,2,knight_walk_02.png,0.444443196,-0.02,72,150
77,2,6,3,knight_walk_03.png,0.499998808,0,76,152
78,2,6,4,knight_walk_04.png,0.513512313,0,74,151
79,2,6,5,knight_walk_05.png,0.437498599,0.006578947,64,152
80,2,6,6,knight_walk_06.png,0.366665214,0,60,153
81,2,6,7,knight_walk_07.png,0.410255194,-0.006535948,78,153
82,2,6,8,knight_walk_08.png,0.432988703,-0.019867551,97,151
83,2,6,9,knight_walk_09.png,0.510203123,-0.01324503,98,151
84,2,6,10,knight_walk_10.png,0.516128123,-0.006622517,93,151
85,2,6,11,knight_walk_11.png,0.448716789,-0.006578947,78,152
86,2,6,12,knight_walk_12.png,0.280700088,-0.006535948,57,153
87,2,7,0,knight_kick1_00.png,0.447367191,-0.01298701,76,154
88,2,7,1,knight_kick1_01.png,-0.220001802,-0.01298701,50,154
89,2,7,2,knight_kick1_02.png,-0.342858493,-0.006944444,70,144
90,2,7,3,knight_kick1_03.png,-0.600001097,-0.007092198,85,141
91,2,7,4,knight_kick1_04.png,-0.987806022,-0.079754598,82,163
92,2,7,5,knight_kick1_05.png,-0.58278209,-0.1165644,151,163
93,2,7,6,knight_kick1_06.png,-1.760000944,-0.093333326,75,150
94,2,7,7,knight_kick1_07.png,-1.829269052,-0.01360544,82,147
95,2,7,8,knight_kick1_08.png,-1.655557036,-0.01388889,90,144
96,2,7,9,knight_kick1_09.png,-2.318841934,-0.01360544,69,147
97,2,7,10,knight_kick1_10.png,-2.910716057,-0.006666667,56,150
98,2,7,11,knight_kick1_11.png,-2.836364985,-0.01369863,55,146
99,2,7,12,knight_kick1_12.png,-2.125000954,-0.0137931,64,145
100,2,7,13,knight_kick1_13.png,-2.01492691,-0.01324503,67,151
101,2,7,14,knight_kick1_14.png,-1.813334942,-0.01290323,75,155
102,2,7,15,knight_kick1_15.png,-1.789474964,-0.006410256,76,156
103,2,7,16,knight_kick1_16.png,-1.789474964,-0.006410256,76,156
104,2,7,17,knight_kick1_17.png,-1.789474964,-0.01298701,76,154
120,2,9,0,knight_kick2_00.png,0.314813107,-0.006493506,54,154
121,2,9,1,knight_kick2_01.png,0.189188004,-0.02325581,74,129
122,2,9,2,knight_kick2_02.png,-0.168675795,-0.01298701,83,154
123,2,9,3,knight_kick2_03.png,-0.95890528,-0.155844197,73,154
124,2,9,4,knight_kick2_04.png,-0.496454507,-0.133333296,141,150
125,2,9,5,knight_kick2_05.png,-0.65454632,-0.006944444,110,144
126,2,9,6,knight_kick2_06.png,-0.71296382,-0.006802721,108,147
127,2,9,7,knight_kick2_07.png,-0.681819022,-0.01282051,110,156
128,2,9,8,knight_kick2_08.png,-1.170732975,-0.01242236,82,161
129,2,9,9,knight_kick2_09.png,-1.170732975,-0.0130719,82,153
130,2,9,10,knight_kick2_10.png,-1.233767033,-0.006622517,77,151
131,2,9,11,knight_kick2_11.png,-1.250000954,-0.006535948,76,153
132,2,9,12,knight_kick2_12.png,-1.250000954,-0.01298701,76,154
133,2,9,13,knight_kick2_13.png,-1.250000954,-0.01298701,76,154
134,2,9,14,knight_kick2_14.png,-1.250000954,-0.01298701,76,154
135,2,10,0,knight_kick3_00.png,0.344826013,-0.01298701,58,154
136,2,10,1,knight_kick3_01.png,0.317458898,-0.01481481,63,135
137,2,10,2,knight_kick3_02.png,-0.229509696,-0.138364807,61,159
138,2,10,3,knight_kick3_03.png,-0.443039089,-0.284768194,79,151
139,2,10,4,knight_kick3_04.png,-0.279221386,-0.126582295,154,158
140,2,10,5,knight_kick3_05.png,-1.681820035,-0.086419746,66,162
141,2,10,6,knight_kick3_06.png,-0.750000775,-0.02515723,116,159
142,2,10,7,knight_kick3_07.png,-0.925000787,-0.007042253,120,142
143,2,10,8,knight_kick3_08.png,-1.168421984,0,95,130
144,2,10,9,knight_kick3_09.png,-1.180852056,-0.007692308,94,130
145,2,10,10,knight_kick3_10.png,-1.157896042,0,95,131
146,2,10,11,knight_kick3_11.png,-1.180852056,0,94,131
147,2,10,12,knight_kick3_12.png,-1.193549037,0,93,139
148,2,10,13,knight_kick3_13.png,-1.219781041,-0.006802721,91,147
149,2,10,14,knight_kick3_14.png,-1.404762983,-0.006578947,84,152
150,2,10,15,knight_kick3_15.png,-1.623378038,-0.01315789,77,152
151,2,10,16,knight_kick3_16.png,-1.657896042,-0.0130719,76,153
152,2,10,17,knight_kick3_17.png,-1.623378038,-0.01298701,77,154
153,2,11,0,knight_run_00.png,0.506492317,-0.006369427,77,157
154,2,11,1,knight_run_01.png,0.327584594,-0.01298701,58,154
155,2,11,2,knight_run_02.png,0.364863604,-0.032467529,74,154
156,2,11,3,knight_run_03.png,0.285713196,-0.018867919,84,159
157,2,11,4,knight_run_04.png,0.082190529,0.006329114,73,158
158,2,11,5,knight_run_05.png,-0.04477749,0.01298701,67,154
159,2,11,6,knight_run_06.png,0.333332211,-0.006535948,84,153
160,2,11,7,knight_run_07.png,0.459182709,-0.018750001,98,160
161,2,11,8,knight_run_08.png,0.506492317,-0.006369427,77,157
162,3,12,0,gladiator_kick1_00.png,0.443036795,-0.01242236,79,161
163,3,12,1,gladiator_kick1_01.png,-0.185186893,-0.018633541,54,161
164,3,12,2,gladiator_kick1_02.png,-0.34246701,-0.01333333,73,150
165,3,12,3,gladiator_kick1_03.png,-0.576088011,-0.006802721,92,147
166,3,12,4,gladiator_kick1_04.png,-0.953489423,-0.082352944,86,170
167,3,12,5,gladiator_kick1_05.png,-0.562092125,-0.115606897,153,173
168,3,12,6,gladiator_kick1_06.png,-1.717949986,-0.094339617,78,159
169,3,12,7,gladiator_kick1_07.png,-1.779070973,-0.01298701,86,154
170,3,12,8,gladiator_kick1_08.png,-1.715909958,-0.01324503,88,151
171,3,12,9,gladiator_kick1_09.png,-2.103897095,-0.01290323,77,155
172,3,12,10,gladiator_kick1_10.png,-2.913794994,-0.01282051,58,156
173,3,12,11,gladiator_kick1_11.png,-2.758621931,-0.0130719,58,153
174,3,12,12,gladiator_kick1_12.png,-2.058825016,-0.019867551,68,151
175,3,12,13,gladiator_kick1_13.png,-1.851353049,-0.01265823,74,158
176,3,12,14,gladiator_kick1_14.png,-1.75949502,-0.01234568,79,162
177,3,12,15,gladiator_kick1_15.png,-1.77215302,-0.006097561,79,164
178,3,12,16,gladiator_kick1_16.png,-1.77215302,-0.006134969,79,163
179,3,12,17,gladiator_kick1_17.png,-1.77215302,-0.01242236,79,161
180,3,13,0,gladiator_kick2_00.png,0.305083185,-0.0125,59,160
181,3,13,1,gladiator_kick2_01.png,0.194803998,-0.02205882,77,136
182,3,13,2,gladiator_kick2_02.png,-0.168540403,-0.018750001,89,160
183,3,13,3,gladiator_kick2_03.png,-0.924051821,-0.155279502,79,161
184,3,13,4,gladiator_kick2_04.png,-0.415585011,-0.132075503,154,159
185,3,13,5,gladiator_kick2_05.png,-0.612069726,-0.01333333,116,150
186,3,13,6,gladiator_kick2_06.png,-0.660870373,-0.0130719,115,153
187,3,13,7,gladiator_kick2_07.png,-0.586777627,-0.01219512,121,164
188,3,13,8,gladiator_kick2_08.png,-0.989474714,-0.01183432,95,169
189,3,13,9,gladiator_kick2_09.png,-1.100000978,-0.0125,90,160
190,3,13,10,gladiator_kick2_10.png,-1.195122957,-0.006329114,82,158
191,3,13,11,gladiator_kick2_11.png,-1.225000978,-0.0125,80,160
192,3,13,12,gladiator_kick2_12.png,-1.240507007,-0.01234568,79,162
193,3,13,13,gladiator_kick2_13.png,-1.212501049,-0.01234568,80,162
194,3,13,14,gladiator_kick2_14.png,-1.240507007,-0.01242236,79,161
195,3,14,0,gladiator_kick3_00.png,0.338981509,-0.01242236,59,161
196,3,14,1,gladiator_kick3_01.png,0.312498599,-0.0141844,64,141
197,3,14,2,gladiator_kick3_02.png,-0.208956599,-0.137724504,67,167
198,3,14,3,gladiator_kick3_03.png,-0.469880611,-0.286624193,83,157
199,3,14,4,gladiator_kick3_04.png,-0.2303036,-0.128048807,165,164
200,3,14,5,gladiator_kick3_05.png,-1.459460974,-0.087209299,74,172
201,3,14,6,gladiator_kick3_06.png,-0.750000775,-0.023668639,120,169
202,3,14,7,gladiator_kick3_07.png,-0.912000716,-0.006666667,125,150
203,3,14,8,gladiator_kick3_08.png,-1.151515961,-0.007352941,99,136
204,3,14,9,gladiator_kick3_09.png,-1.151515961,-0.00729927,99,137
205,3,14,10,gladiator_kick3_10.png,-1.163265944,-0.007352941,98,136
206,3,14,11,gladiator_kick3_11.png,-1.163265944,-0.007352941,98,136
207,3,14,12,gladiator_kick3_12.png,-1.175258994,-0.006944444,97,144
208,3,14,13,gladiator_kick3_13.png,-1.200001001,-0.006535948,95,153
209,3,14,14,gladiator_kick3_14.png,-1.375000954,-0.01273885,88,157
210,3,14,15,gladiator_kick3_15.png,-1.612501025,-0.01257862,80,159
211,3,14,16,gladiator_kick3_16.png,-1.645570993,-0.0125,79,160
212,3,14,17,gladiator_kick3_17.png,-1.612501025,-0.01242236,80,161
213,3,15,0,gladiator_run_00.png,0.506327927,-0.006060606,79,165
214,3,15,1,gladiator_run_01.png,0.333331794,-0.01242236,60,161
215,3,15,2,gladiator_run_02.png,0.354429185,-0.037267081,79,161
216,3,15,3,gladiator_run_03.png,0.266665608,-0.01785714,90,168
217,3,15,4,gladiator_run_04.png,0.075948209,0.006060606,79,165
218,3,15,5,gladiator_run_05.png,-0.041667938,0.00621118,72,161
219,3,15,6,gladiator_run_06.png,0.329544395,-0.00625,88,160
220,3,15,7,gladiator_run_07.png,0.455444604,-0.0239521,101,167
221,3,15,8,gladiator_run_08.png,0.506327927,-0.006060606,79,165
222,3,16,0,gladiator_walk_00.png,0.27692169,-0.01257862,65,159
223,3,16,1,gladiator_walk_01.png,0.323528111,-0.00625,68,160
224,3,16,2,gladiator_walk_02.png,0.423075706,-0.019108281,78,157
225,3,16,3,gladiator_walk_03.png,0.475608587,0,82,159
226,3,16,4,gladiator_walk_04.png,0.48749879,0,80,158
227,3,16,5,gladiator_walk_05.png,0.414284408,0,70,159
228,3,16,6,gladiator_walk_06.png,0.348483503,0,66,160
229,3,16,7,gladiator_walk_07.png,0.417720288,-0.00621118,79,161
230,3,16,8,gladiator_walk_08.png,0.429999113,-0.018867919,100,159
231,3,16,9,gladiator_walk_09.png,0.504853487,-0.01265823,103,158
232,3,16,10,gladiator_walk_10.png,0.499999106,-0.01273885,100,157
233,3,16,11,gladiator_walk_11.png,0.435292989,-0.006289308,85,159
234,3,16,12,gladiator_walk_12.png,0.27692169,-0.01257862,65,159
235,4,17,0,hunter_kick1_00.png,0.41538319,0,65,138
236,4,17,1,hunter_kick1_01.png,0.063490607,0,63,139
237,4,17,2,hunter_kick1_02.png,-0.287880212,0,66,130
